GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21900514,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,92,0.435,13,31,0.419,10,12,0.833,14,31,45,22,1,8,8,22,103,-6
21900502,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,45,96,0.469,14,31,0.452,13,17,0.765,10,43,53,30,6,6,10,18,117,4
21900481,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,53,93,0.57,18,35,0.514,12,15,0.8,7,44,51,30,8,7,11,20,136,27
21900463,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,83,0.482,8,29,0.276,10,15,0.667,5,40,45,18,9,7,13,16,98,-4
21900450,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,60,89,0.674,15,24,0.625,10,14,0.714,4,42,46,36,9,4,12,14,145,30
21900436,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,82,0.512,10,28,0.357,15,19,0.789,4,32,36,24,5,8,18,20,109,-25
21900418,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,96,0.448,13,33,0.394,19,23,0.826,13,34,47,26,10,8,11,19,118,13
21900396,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,91,0.429,12,33,0.364,17,20,0.85,8,45,53,23,5,4,18,22,107,-2
21900380,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,44,106,0.415,8,30,0.267,25,34,0.735,10,52,62,23,6,9,11,22,121,2
21900368,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,42,86,0.488,5,16,0.313,20,25,0.8,2,34,36,19,11,7,12,21,109,-8
21900328,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,41,96,0.427,11,32,0.344,12,17,0.706,13,39,52,25,10,5,16,16,105,1
21900303,1610612759,Foufous de Sochaux,FFS,Sochaux,290:00:00,50,106,0.472,13,30,0.433,22,32,0.688,12,44,56,35,10,8,20,27,135,2
21900288,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,88,0.409,7,26,0.269,19,22,0.864,7,24,31,20,11,6,8,15,98,-34
21900276,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,93,0.43,14,36,0.389,13,14,0.929,8,40,48,28,8,8,9,15,107,10
21900262,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,97,0.423,5,29,0.172,14,17,0.824,8,38,46,25,4,8,6,18,101,-12
21900249,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,88,0.466,10,25,0.4,12,15,0.8,9,32,41,23,4,5,13,22,104,-10
21900229,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,75,0.533,12,23,0.522,19,28,0.679,9,38,47,26,7,3,22,17,111,7
21900218,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,85,0.506,6,18,0.333,12,16,0.75,3,29,32,21,6,3,11,15,104,-11
21900203,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,49,93,0.527,12,32,0.375,22,29,0.759,12,29,41,32,8,8,12,13,132,-6
21900194,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,96,0.458,8,24,0.333,14,16,0.875,17,31,48,18,6,2,9,18,110,-7
21900181,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,88,0.466,5,18,0.278,29,34,0.853,7,36,43,25,8,7,10,17,116,-5
21900168,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,89,0.506,13,26,0.5,6,10,0.6,8,33,41,23,8,8,11,25,109,-2
21900158,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,90,0.489,3,17,0.176,23,29,0.793,10,34,44,24,4,4,11,23,114,-15
21900143,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,42,90,0.467,12,30,0.4,13,17,0.765,7,35,42,29,4,4,13,17,109,-4
21900127,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,99,0.394,14,30,0.467,23,30,0.767,21,36,57,24,1,8,15,22,115,-20
